Date,Close,Volume
2023-05-25,30801.13,84000000
2023-05-26,30916.31,78300000
2023-05-29,31233.54,78300000
2023-05-30,31328.16,71800000
2023-05-31,30887.88,184600000
2023-06-01,31148.01,95100000
2023-06-02,31524.22,90700000
2023-06-05,32217.43,98800000
2023-06-06,32506.78,82500000
2023-06-07,31913.74,111900000
2023-06-08,31641.27,86000000
2023-06-09,32265.17,101500000
2023-06-12,32434.0,68700000
2023-06-13,33018.65,89500000
2023-06-14,33502.42,111600000
2023-06-15,33485.49,105800000
2023-06-16,33706.08,132000000
2023-06-19,33370.42,82900000
2023-06-20,33388.91,82400000
2023-06-21,33575.14,82000000
2023-06-22,33264.88,94700000
2023-06-23,32781.54,103600000
2023-06-26,32698.81,74100000
2023-06-27,32538.33,79600000
2023-06-28,33193.99,91100000
2023-06-29,33234.14,117900000
2023-06-30,33189.04,111300000
2023-07-03,33753.33,95400000
2023-07-04,33422.52,99400000
2023-07-05,33338.7,95100000
2023-07-06,32773.02,100600000
2023-07-07,32388.42,105100000
2023-07-10,32189.73,101200000
2023-07-11,32203.57,87200000
2023-07-12,31943.93,88400000
2023-07-13,32419.33,77800000
2023-07-14,32391.26,90300000
2023-07-18,32493.89,81100000
2023-07-19,32896.03,81900000
2023-07-20,32490.52,75600000
2023-07-21,32304.25,79400000
2023-07-24,32700.94,83500000
2023-07-25,32682.51,101000000
2023-07-26,32668.34,85200000
2023-07-27,32891.16,90900000
2023-07-28,32759.23,170500000
2023-07-31,33172.22,134300000
2023-08-01,33476.58,110800000
2023-08-02,32707.69,124200000
2023-08-03,32159.28,120300000
2023-08-04,32192.75,106600000
2023-08-07,32254.56,94100000
2023-08-08,32377.29,91800000
2023-08-09,32204.33,104500000
2023-08-10,32473.65,108000000
2023-08-14,32059.91,95600000
2023-08-15,32238.89,75100000
2023-08-16,31766.82,84800000
2023-08-17,31626.0,87700000
2023-08-18,31450.76,74800000
2023-08-21,31565.64,69500000
2023-08-22,31856.71,70200000
2023-08-23,32010.26,65100000
2023-08-24,32287.21,73400000
2023-08-25,31624.28,65700000
2023-08-28,32169.99,69900000
2023-08-29,32226.97,77500000
2023-08-30,32333.46,89100000
2023-08-31,32619.34,114600000
2023-09-01,32710.62,88400000
2023-09-04,32939.18,89600000
2023-09-05,33036.76,91300000
2023-09-06,33241.02,94200000
2023-09-07,32991.08,100200000
2023-09-08,32606.84,114100000
2023-09-11,32467.76,84200000
2023-09-12,32776.37,94000000
2023-09-13,32706.52,98100000
2023-09-14,33168.1,112100000
2023-09-15,33533.09,166600000
2023-09-19,33242.59,117200000
2023-09-20,33023.78,113500000
2023-09-21,32571.03,107900000
2023-09-22,32402.41,109800000
2023-09-25,32678.62,82100000
2023-09-26,32315.05,86500000
2023-09-27,32371.9,105600000
2023-09-28,31872.52,115900000
2023-09-29,31857.62,132000000
2023-10-02,31759.88,103100000
2023-10-03,31237.94,109600000
2023-10-04,30526.88,137200000
2023-10-05,31075.36,114200000
2023-10-06,30994.67,94600000
2023-10-10,31746.53,101000000
2023-10-11,31936.51,89500000
2023-10-12,32494.66,100600000
2023-10-13,32315.99,91500000
2023-10-16,31659.03,84500000
2023-10-17,32040.29,75600000
2023-10-18,32042.25,83200000
2023-10-19,31430.62,80700000
2023-10-20,31259.36,84500000
2023-10-23,30999.55,73500000
2023-10-24,31062.35,97900000
2023-10-25,31269.92,78700000
2023-10-26,30601.78,85600000
2023-10-27,30991.69,89100000
2023-10-30,30696.96,187000000
2023-10-31,30858.85,134300000
2023-11-01,31601.65,130100000
2023-11-02,31949.89,121100000
2023-11-06,32708.48,139400000
2023-11-07,32271.82,106700000
2023-11-08,32166.48,156200000
2023-11-09,32646.46,115500000
2023-11-10,32568.11,111300000
2023-11-13,32585.11,90600000
2023-11-14,32695.93,88100000
2023-11-15,33519.7,123800000
2023-11-16,33424.41,94200000
2023-11-17,33585.2,93200000
2023-11-20,33388.03,94900000
2023-11-21,33354.14,91900000
2023-11-22,33451.83,75600000
2023-11-24,33625.53,80700000
2023-11-27,33447.67,82700000
2023-11-28,33408.39,84100000
2023-11-29,33321.22,89200000
2023-11-30,33486.89,152200000
2023-12-01,33431.51,87600000
2023-12-04,33231.27,87300000
2023-12-05,32775.82,86100000
2023-12-06,33445.9,91200000
2023-12-07,32858.31,105100000
2023-12-08,32307.86,144200000
2023-12-11,32791.8,105800000
2023-12-12,32843.7,98100000
2023-12-13,32926.35,100000000
2023-12-14,32686.25,133400000
2023-12-15,32970.55,141100000
2023-12-18,32758.98,106900000
2023-12-19,33219.39,106300000
2023-12-20,33675.94,118000000
2023-12-21,33140.47,95600000
2023-12-22,33169.05,89400000
2023-12-25,33254.03,58900000
2023-12-26,33305.85,68300000
2023-12-27,33681.24,93700000
2023-12-28,33539.62,73300000
2023-12-29,33464.17,89000000
2024-01-04,33288.29,117300000
2024-01-05,33377.42,115300000
2024-01-09,33763.18,112100000
2024-01-10,34441.72,106000000
2024-01-11,35049.86,130100000
2024-01-12,35577.11,129200000
2024-01-15,35901.79,105700000
2024-01-16,35619.18,103400000
2024-01-17,35477.75,139500000
2024-01-18,35466.17,100300000
2024-01-19,35963.27,104100000
2024-01-22,36546.95,100000000
2024-01-23,36517.57,111500000
2024-01-24,36226.48,108600000
2024-01-25,36236.47,94600000
2024-01-26,35751.07,109600000
2024-01-29,36026.94,95500000
2024-01-30,36065.86,87900000
2024-01-31,36286.71,111100000
2024-02-01,36011.46,118100000
2024-02-02,36158.02,114800000
2024-02-05,36354.16,130500000
2024-02-06,36160.66,134700000
2024-02-07,36119.92,126500000
2024-02-08,36863.28,151000000
2024-02-09,36897.42,146800000
2024-02-13,37963.97,140500000
2024-02-14,37703.32,120300000
2024-02-15,38157.94,130000000
2024-02-16,38487.24,151700000
2024-02-19,38470.38,102000000
2024-02-20,38363.61,108500000
2024-02-21,38262.16,104700000
2024-02-22,39098.68,122900000
2024-02-26,39233.71,125700000
2024-02-27,39239.52,119100000
2024-02-28,39208.03,119900000
2024-02-29,39166.19,166000000
2024-03-01,39910.82,122800000
2024-03-04,40109.23,119400000
2024-03-05,40097.63,115200000
2024-03-06,40090.78,112900000
2024-03-07,39598.71,137200000
2024-03-08,39688.94,143300000
2024-03-11,38820.49,132900000
2024-03-12,38797.51,112900000
2024-03-13,38695.97,105400000
2024-03-14,38807.38,111100000
2024-03-15,38707.64,167100000
2024-03-18,39740.44,128700000
2024-03-19,40003.6,134700000
2024-03-21,40815.66,157200000
2024-03-22,40888.43,136100000
2024-03-25,40414.12,101500000
2024-03-26,40398.03,101400000
2024-03-27,40762.73,121300000
2024-03-28,40168.07,135600000
2024-03-29,40369.44,122000000
2024-04-01,39803.09,134500000
2024-04-02,39838.91,115800000
2024-04-03,39451.85,123200000
2024-04-04,39773.14,145100000
2024-04-05,38992.08,129600000
2024-04-08,39347.04,108300000
2024-04-09,39773.13,105900000
2024-04-10,39581.81,97400000
2024-04-11,39442.63,107000000
2024-04-12,39523.55,107100000
2024-04-15,39232.8,107000000
2024-04-16,38471.2,133000000
2024-04-17,37961.8,120600000
2024-04-18,38079.7,105800000
2024-04-19,37068.35,155400000
2024-04-22,37438.61,119400000
2024-04-23,37552.16,95900000
2024-04-24,38460.08,121100000
2024-04-25,37628.48,113900000
2024-04-26,37934.76,124900000
2024-04-30,38405.66,151400000
2024-05-01,38274.05,108500000
2024-05-02,38236.07,101900000
2024-05-07,38835.1,115200000
2024-05-08,38202.37,120100000
2024-05-09,38073.98,118600000
2024-05-10,38229.11,167300000
2024-05-13,38179.46,128700000
2024-05-14,38356.06,143300000
2024-05-15,38385.73,146300000
2024-05-16,38920.26,157900000
2024-05-17,38787.38,133300000
2024-05-20,39069.68,127400000
2024-05-21,38946.93,106700000
2024-05-22,38617.1,105500000
2024-05-23,39103.22,107800000
2024-05-24,38646.11,96300000
2024-05-27,38900.02,94200000
2024-05-28,38855.37,101200000
2024-05-29,38556.87,123900000
